time_s,ACC_TFLOPS,Instant_TFLOPS
96,33.538307,80.471319
97,34.017215,80.471319
98,34.486449,80.471319
99,34.946298,80.471319
100,35.397040,80.471319
101,35.838945,80.471319
102,36.272269,80.471319
103,36.697260,80.471319
104,37.114156,80.471319
105,37.523186,80.471319
106,37.924570,80.471319
107,38.318521,80.471319
108,38.705244,80.471319
109,39.084936,80.471319
110,39.457786,80.471319
111,39.823978,80.471319
112,40.183689,80.471319
113,40.537090,80.471319
114,40.884344,80.471319
115,41.225611,80.471319
116,41.561044,80.471319
117,41.890792,80.471319
118,42.214998,80.471319
119,42.533801,80.471319
120,42.847334,80.471319
121,43.155728,80.471319
122,43.459106,80.471319
123,43.757592,80.471319
124,44.051302,80.471319
125,44.340350,80.471319
126,44.624845,80.471319
127,44.904896,80.471319
128,45.180605,80.471319
129,45.452072,80.471319
130,45.719394,80.471319
131,45.982666,80.471319
132,46.241980,80.471319
133,46.497422,80.471319
134,46.749081,80.471319
135,46.997039,80.471319
136,47.241376,80.471319
137,47.482173,80.471319
138,47.719505,80.471319
139,47.953447,80.471319
140,48.184070,80.471319
141,48.411445,80.471319
142,48.635640,80.471319
143,48.856721,80.471319
144,49.074752,80.471319
145,49.289797,80.471319
146,49.501917,80.471319
147,49.711169,80.471319
148,49.917613,80.471319
149,50.121305,80.471319
150,50.322298,80.471319
151,50.520647,80.471319
152,50.716403,80.471319
153,50.909617,80.471319
154,51.100337,80.471319
155,51.288613,80.471319
156,51.474490,80.471319
157,51.658014,80.471319
158,51.839230,80.471319
159,52.018181,80.471319
160,52.194908,80.471319
161,52.369454,80.471319
162,52.541858,80.471319
163,52.712160,80.471319
164,52.880397,80.471319
165,53.046607,80.471319
166,53.210827,80.471319
167,53.373092,80.471319
168,53.533436,80.471319
169,53.691895,80.471319
170,53.848499,80.471319
171,54.003283,80.471319
172,54.156278,80.471319
173,54.307514,80.471319
174,54.457021,80.471319
175,54.604830,80.471319
176,54.750968,80.471319
177,54.895464,80.471319
178,55.038346,80.471319
179,55.179640,80.471319
180,55.319373,80.471319
181,55.457571,80.471319
182,55.594258,80.471319
183,55.729460,80.471319
184,55.863199,80.471319
185,55.995501,80.471319
186,56.126388,80.471319
187,56.255882,80.471319
188,56.384006,80.471319
189,56.510781,80.471319
190,56.636229,80.471319
191,56.760370,80.471319
192,56.883225,80.471319
193,57.004813,80.471319
194,57.125154,80.471319
195,57.244267,80.471319
196,57.362171,80.471319
197,57.478884,80.471319
198,57.594424,80.471319
199,57.708808,80.471319
200,57.822055,80.471319
201,57.934180,80.471319
202,58.045200,80.471319
203,58.155132,80.471319
204,58.263991,80.471319
205,58.371794,80.471319
206,58.478555,80.471319
207,58.584289,80.471319
208,58.689012,80.471319
209,58.792737,80.471319
210,58.895479,80.471319
211,58.997252,80.471319
212,59.098069,80.471319
213,59.197944,80.471319
214,59.296890,80.471319
215,59.394920,80.471319
216,59.492046,80.471319
217,59.588282,80.471319
218,59.683638,80.471319
219,59.778127,80.471319
220,59.871762,80.471319
221,59.964553,80.471319
222,60.056511,80.471319
223,60.147649,80.471319
224,60.237976,80.471319
225,60.327504,80.471319
226,60.416243,80.471319
227,60.504204,80.471319
228,60.591397,80.471319
229,60.677831,80.471319
230,60.763517,80.471319
231,60.848465,80.471319
232,60.932683,80.471319
233,61.016182,80.471319
234,61.098969,80.471319
235,61.181056,80.471319
236,61.262449,80.471319
237,61.343159,80.471319
238,61.423193,80.471319
239,61.502560,80.471319
240,61.581269,80.471319
241,61.659327,80.471319
242,61.736742,80.471319
243,61.813523,80.471319
244,61.889678,80.471319
245,61.965213,80.471319
246,62.040136,80.471319
247,62.114456,80.471319
248,62.188178,80.471319
249,62.261310,80.471319
250,62.333860,80.471319
251,62.405834,80.471319
252,62.477239,80.471319
253,62.548082,80.471319
254,62.618369,80.471319
255,62.688107,80.471319
256,62.757303,80.471319
257,62.825962,80.471319
258,62.894091,80.471319
259,62.961695,80.471319
260,63.028782,80.471319
261,63.095357,80.471319
262,63.161425,80.471319
263,63.226993,80.471319
264,63.292066,80.471319
265,63.356649,80.471319
266,63.420749,80.471319
267,63.484371,80.471319
268,63.547519,80.471319
269,63.610200,80.471319
270,63.672418,80.471319
271,63.734179,80.471319
272,63.795487,80.471319
273,63.856348,80.471319
274,63.916766,80.471319
275,63.976746,80.471319
276,64.036293,80.471319
277,64.095412,80.471319
278,64.154107,80.471319
279,64.212383,80.471319
280,64.270244,80.471319
281,64.327694,80.471319
282,64.384739,80.471319
283,64.441382,80.471319
284,64.497627,80.471319
285,64.553479,80.471319
286,64.608942,80.471319
287,64.664020,80.471319
